,Trafo_id,Date_Time,Active_Energy
1271,121695,2019-11-13 17:00:00,804.8
2240,121990,2019-11-13 18:00:00,627.0
305,100469,2019-11-13 19:00:00,672.0
1757,121970,2019-11-13 20:00:00,804.0
1275,121695,2019-11-13 21:00:00,648.8
1276,121695,2019-11-13 22:00:00,706.0
793,100528,2019-11-13 23:00:00,599.4
2246,121990,2019-11-14 00:00:00,286.0
2247,121990,2019-11-14 01:00:00,274.0
312,100469,2019-11-14 02:00:00,573.0
1281,121695,2019-11-14 03:00:00,661.6
314,100469,2019-11-14 04:00:00,639.0
1766,121970,2019-11-14 05:00:00,746.4
1767,121970,2019-11-14 06:00:00,888.0
801,100528,2019-11-14 07:00:00,610.8
318,100469,2019-11-14 08:00:00,1653.6
1287,121695,2019-11-14 09:00:00,964.8
804,100528,2019-11-14 10:00:00,943.2
805,100528,2019-11-14 11:00:00,981.6
2258,121990,2019-11-14 12:00:00,703.0
1774,121970,2019-11-14 13:00:00,1395.2
324,100469,2019-11-14 14:00:00,1702.2
1776,121970,2019-11-14 15:00:00,1358.4
1777,121970,2019-11-14 16:00:00,1296.0
2263,121990,2019-11-14 17:00:00,854.5
812,100528,2019-11-14 18:00:00,954.6
2265,121990,2019-11-14 19:00:00,633.5
814,100528,2019-11-14 20:00:00,856.2
331,100469,2019-11-14 21:00:00,566.4
1300,121695,2019-11-14 22:00:00,796.4
817,100528,2019-11-14 23:00:00,612.0
1785,121970,2019-11-15 00:00:00,688.8
1786,121970,2019-11-15 01:00:00,790.4
820,100528,2019-11-15 02:00:00,388.2
1788,121970,2019-11-15 03:00:00,747.2
338,100469,2019-11-15 04:00:00,606.6
1790,121970,2019-11-15 05:00:00,766.4
1308,121695,2019-11-15 06:00:00,747.6
2277,121990,2019-11-15 07:00:00,749.0
2278,121990,2019-11-15 08:00:00,963.5
1794,121970,2019-11-15 09:00:00,1421.6
828,100528,2019-11-15 10:00:00,925.2
2281,121990,2019-11-15 11:00:00,903.5
1797,121970,2019-11-15 12:00:00,966.4
347,100469,2019-11-15 13:00:00,1515.6
1316,121695,2019-11-15 14:00:00,1102.4
1800,121970,2019-11-15 15:00:00,1384.0
1801,121970,2019-11-15 16:00:00,1274.4
2287,121990,2019-11-15 17:00:00,878.5
836,100528,2019-11-15 18:00:00,927.6
1804,121970,2019-11-15 19:00:00,778.4
2290,121990,2019-11-15 20:00:00,621.0
355,100469,2019-11-15 21:00:00,617.4
1807,121970,2019-11-15 22:00:00,792.8
1808,121970,2019-11-15 23:00:00,737.6
2294,121990,2019-11-16 00:00:00,372.0
359,100469,2019-11-16 01:00:00,495.0
1328,121695,2019-11-16 02:00:00,697.2
361,100469,2019-11-16 03:00:00,541.8
1813,121970,2019-11-16 04:00:00,368.8
363,100469,2019-11-16 05:00:00,526.2
1332,121695,2019-11-16 06:00:00,652.4
1333,121695,2019-11-16 07:00:00,690.0
366,100469,2019-11-16 08:00:00,1048.2
851,100528,2019-11-16 09:00:00,801.0
1336,121695,2019-11-16 10:00:00,871.2
1820,121970,2019-11-16 11:00:00,932.8
2306,121990,2019-11-16 12:00:00,514.5
855,100528,2019-11-16 13:00:00,815.4
1340,121695,2019-11-16 14:00:00,808.8
857,100528,2019-11-16 15:00:00,753.0
2310,121990,2019-11-16 16:00:00,472.0
1343,121695,2019-11-16 17:00:00,787.6
860,100528,2019-11-16 18:00:00,820.8
861,100528,2019-11-16 19:00:00,795.6
2314,121990,2019-11-16 20:00:00,319.5
1347,121695,2019-11-16 21:00:00,670.8
1348,121695,2019-11-16 22:00:00,730.4
865,100528,2019-11-16 23:00:00,612.0
382,100469,2019-11-17 00:00:00,416.4
1834,121970,2019-11-17 01:00:00,620.0
384,100469,2019-11-17 02:00:00,405.6
1836,121970,2019-11-17 03:00:00,579.2
1354,121695,2019-11-17 04:00:00,627.6
1355,121695,2019-11-17 05:00:00,609.6
872,100528,2019-11-17 06:00:00,370.2
2325,121990,2019-11-17 07:00:00,233.5
390,100469,2019-11-17 08:00:00,169.2
1842,121970,2019-11-17 09:00:00,364.8
1843,121970,2019-11-17 10:00:00,397.6
1844,121970,2019-11-17 11:00:00,390.4
394,100469,2019-11-17 12:00:00,169.8
2331,121990,2019-11-17 13:00:00,352.0
1847,121970,2019-11-17 14:00:00,374.4
1365,121695,2019-11-17 15:00:00,440.4
398,100469,2019-11-17 16:00:00,186.0
1367,121695,2019-11-17 17:00:00,460.4
400,100469,2019-11-17 18:00:00,216.6
2337,121990,2019-11-17 19:00:00,293.5
886,100528,2019-11-17 20:00:00,759.6
403,100469,2019-11-17 21:00:00,234.0
404,100469,2019-11-17 22:00:00,220.2
2341,121990,2019-11-17 23:00:00,253.5
2342,121990,2019-11-18 00:00:00,217.0
407,100469,2019-11-18 01:00:00,228.6
408,100469,2019-11-18 02:00:00,239.4
893,100528,2019-11-18 03:00:00,356.4
894,100528,2019-11-18 04:00:00,364.8
1379,121695,2019-11-18 05:00:00,429.6
1380,121695,2019-11-18 06:00:00,500.8
897,100528,2019-11-18 07:00:00,566.4
414,100469,2019-11-18 08:00:00,1597.8
1383,121695,2019-11-18 09:00:00,961.6
2352,121990,2019-11-18 10:00:00,1066.5
417,100469,2019-11-18 11:00:00,1617.6
1869,121970,2019-11-18 12:00:00,1343.2
